prb_id,timestamp,resultset.result.rt,asn
23921,2019-10-05 22:41:20,70.197,204151.0
2626,2019-10-05 22:41:50,61.237,51871.0
2626,2019-10-05 22:41:50,67.883,51871.0
2630,2019-10-05 22:41:54,256.882,20836.0
27270,2019-10-05 22:41:49,98.35,6821.0
27899,2019-10-05 22:41:33,308.093,7922.0
27899,2019-10-05 22:41:33,302.488,7922.0
27899,2019-10-05 22:41:33,291.118,7922.0
27961,2019-10-05 22:41:57,56.259,51468.0
27961,2019-10-05 22:41:57,0.988,51468.0
27961,2019-10-05 22:41:57,1.193,51468.0
29078,2019-10-05 22:41:11,160.213,7922.0
30677,2019-10-05 22:41:54,254.378,12735.0
30677,2019-10-05 22:41:54,28.923,12735.0
30677,2019-10-05 22:41:54,93.517,12735.0
3129,2019-10-05 22:41:08,151.506,3243.0
3129,2019-10-05 22:41:08,13.925,3243.0
31867,2019-10-05 22:41:03,71.881,3209.0
31867,2019-10-05 22:41:03,1.001,3209.0
32582,2019-10-05 22:41:13,38.078,199937.0
32582,2019-10-05 22:41:13,43.52,199937.0
32651,2019-10-05 22:41:40,24.494,3215.0
32710,2019-10-05 22:41:27,386.981,7922.0
32710,2019-10-05 22:41:27,111.646,7922.0
32909,2019-10-05 22:41:09,0.991,43754.0
32909,2019-10-05 22:41:09,96.635,43754.0
32909,2019-10-05 22:41:09,108.127,43754.0
33030,2019-10-05 22:41:44,536.946,7922.0
33812,2019-10-05 22:41:37,47.088,12322.0
33812,2019-10-05 22:41:37,0.504,12322.0
33812,2019-10-05 22:41:37,62.785,12322.0
35561,2019-10-05 22:41:05,1254.646,12083.0
35600,2019-10-05 22:41:17,135.986,3320.0
35600,2019-10-05 22:41:17,0.986,3320.0
4053,2019-10-05 22:41:45,216.386,15488.0
4783,2019-10-05 22:41:30,137.076,3265.0
52216,2019-10-05 22:41:37,45.724,28907.0
6409,2019-10-05 22:41:07,574.175,36236.0
6409,2019-10-05 22:41:07,378.417,36236.0
6409,2019-10-05 22:41:07,451.118,36236.0
10807,2019-10-05 22:42:13,1194.631,45494.0
14174,2019-10-05 22:42:14,70.714,50543.0
14174,2019-10-05 22:42:14,810.695,50543.0
14174,2019-10-05 22:42:14,73.727,50543.0
15444,2019-10-05 22:42:19,204.077,16086.0
15517,2019-10-05 22:42:19,35.323,5430.0
15517,2019-10-05 22:42:19,19.219,5430.0
20970,2019-10-05 22:42:59,28.737,44234.0
20970,2019-10-05 22:42:59,27.957,44234.0
24915,2019-10-05 22:42:03,16.808,8823.0
24915,2019-10-05 22:42:03,1.308,8823.0
24915,2019-10-05 22:42:03,12.451,8823.0
26295,2019-10-05 22:42:33,122.539,42610.0
26295,2019-10-05 22:42:33,6.284,42610.0
26295,2019-10-05 22:42:33,4.062,42610.0
28523,2019-10-05 22:42:15,64.156,15547.0
28523,2019-10-05 22:42:15,2.58,15547.0
29642,2019-10-05 22:42:24,61.422,3246.0
29642,2019-10-05 22:42:24,180.532,3246.0
29642,2019-10-05 22:42:24,66.431,3246.0
29746,2019-10-05 22:42:37,20.059,208329.0
3027,2019-10-05 22:42:28,107.757,21430.0
3027,2019-10-05 22:42:28,109.293,21430.0
30499,2019-10-05 22:42:52,5.435,13030.0
30543,2019-10-05 22:42:52,1124.792,59324.0
30543,2019-10-05 22:42:52,1262.244,59324.0
32120,2019-10-05 22:42:22,30.276,3320.0
32120,2019-10-05 22:42:22,0.493,3320.0
32604,2019-10-05 22:42:28,584.967,209.0
3274,2019-10-05 22:42:57,16.262,3265.0
33177,2019-10-05 22:42:59,904.797,327817.0
33922,2019-10-05 22:42:05,192.157,39608.0
33922,2019-10-05 22:42:05,40.354,39608.0
33950,2019-10-05 22:42:36,29.786,9031.0
33950,2019-10-05 22:42:36,8.359,9031.0
33950,2019-10-05 22:42:36,13.296,9031.0
33955,2019-10-05 22:42:55,261.995,27879.0
34753,2019-10-05 22:42:47,32.407,3320.0
35469,2019-10-05 22:42:47,22.024,3209.0
35469,2019-10-05 22:42:47,34.586,3209.0
3841,2019-10-05 22:42:22,28.545,49063.0
3841,2019-10-05 22:42:22,60.016,49063.0
50591,2019-10-05 22:42:32,47.985,49242.0
50591,2019-10-05 22:42:32,721.748,49242.0
50591,2019-10-05 22:42:32,100.873,49242.0
50645,2019-10-05 22:42:26,123.33,24904.0
50645,2019-10-05 22:42:26,233.074,24904.0
51297,2019-10-05 22:42:06,236.081,12252.0
51297,2019-10-05 22:42:06,1.323,12252.0
51467,2019-10-05 22:42:16,204.707,8551.0
51684,2019-10-05 22:42:35,348.849,4761.0
6456,2019-10-05 22:42:33,847.09,20473.0
6456,2019-10-05 22:42:33,272.265,20473.0
6456,2019-10-05 22:42:33,355.302,20473.0
6592,2019-10-05 22:42:05,362.938,51225.0
6592,2019-10-05 22:42:05,94.574,51225.0
6592,2019-10-05 22:42:05,88.175,51225.0
667,2019-10-05 22:42:55,19.867,3265.0
750,2019-10-05 22:42:10,52.733,13101.0
10583,2019-10-05 22:43:47,1294.745,7922.0
10678,2019-10-05 22:43:50,41.754,3209.0
10678,2019-10-05 22:43:50,0.995,3209.0
10836,2019-10-05 22:43:16,25.513,13287.0
10836,2019-10-05 22:43:16,215.175,13287.0
10836,2019-10-05 22:43:16,24.466,13287.0
11168,2019-10-05 22:43:25,27,6871.0
11168,2019-10-05 22:43:25,43.312,6871.0
11649,2019-10-05 22:43:35,28.679,205818.0
11649,2019-10-05 22:43:35,71.564,205818.0
11649,2019-10-05 22:43:35,1.023,205818.0
12070,2019-10-05 22:43:41,285.093,7922.0
12070,2019-10-05 22:43:41,1.321,7922.0
13288,2019-10-05 22:43:41,2016.104,11776.0
13857,2019-10-05 22:43:17,232.862,27017.0
14792,2019-10-05 22:43:39,99.828,25579.0
14842,2019-10-05 22:43:09,40.143,12430.0
14842,2019-10-05 22:43:09,39.164,12430.0
14876,2019-10-05 22:43:51,22.331,31242.0
14876,2019-10-05 22:43:51,29.035,31242.0
14876,2019-10-05 22:43:51,0.755,31242.0
15128,2019-10-05 22:43:59,9.81,3320.0
17196,2019-10-05 22:43:04,76.086,35540.0
17196,2019-10-05 22:43:04,55.161,35540.0
17823,2019-10-05 22:43:54,17.493,13030.0
19420,2019-10-05 22:43:10,299.906,7018.0
19420,2019-10-05 22:43:10,394.888,7018.0
20282,2019-10-05 22:43:36,149.78,27017.0
20353,2019-10-05 22:43:41,51.967,31272.0
20353,2019-10-05 22:43:41,41.012,31272.0
20409,2019-10-05 22:43:33,6.531,24642.0
20409,2019-10-05 22:43:33,33.857,24642.0
20409,2019-10-05 22:43:33,27.392,24642.0
22894,2019-10-05 22:43:15,133.488,2119.0
22894,2019-10-05 22:43:15,148.693,2119.0
22894,2019-10-05 22:43:15,112.947,2119.0
22985,2019-10-05 22:43:55,98.771,8881.0
22985,2019-10-05 22:43:55,40.023,8881.0
22985,2019-10-05 22:43:55,26.514,8881.0
25969,2019-10-05 22:43:18,91.929,12322.0
25969,2019-10-05 22:43:18,0.872,12322.0
27166,2019-10-05 22:43:38,151.124,25242.0
27166,2019-10-05 22:43:38,0.895,25242.0
2754,2019-10-05 22:43:41,601.194,8551.0
2754,2019-10-05 22:43:41,379.924,8551.0
28338,2019-10-05 22:43:40,62.304,3303.0
28964,2019-10-05 22:43:03,1084.956,9318.0
30292,2019-10-05 22:43:42,35.266,5089.0
30738,2019-10-05 22:43:04,94.096,3320.0
30958,2019-10-05 22:43:40,40.407,3320.0
30958,2019-10-05 22:43:40,14.6,3320.0
31255,2019-10-05 22:43:11,557.152,10993.0
32268,2019-10-05 22:43:27,74.348,3301.0
32268,2019-10-05 22:43:27,4.898,3301.0
32268,2019-10-05 22:43:27,4.977,3301.0
33314,2019-10-05 22:43:42,11.13,29286.0
